"","numero","ht","circ","bloc"
"283",354,20.75,42,1
"284",355,20.5,42,1
"285",358,19.25,39,1
"286",359,14.75,31,1
"287",360,20.75,45,1
"288",361,19.75,42,1
"289",362,20,41,1
"290",363,19.75,41,1
"291",364,19.75,42,1
"292",365,19.75,43,1
"293",367,18.5,36,1
"294",368,19.5,42,1
"295",370,18.75,36,1
"296",373,19.75,39,1
"297",374,21.25,47,1
"298",375,21,46,1
"299",376,18.5,35,1
"300",377,20.75,43,1
"301",379,20,42,1
"302",380,19.25,39,1
"303",381,19.5,43,1
"304",382,14.5,29,1
"305",384,20,47,1
"306",385,21.5,46,1
"307",386,22.25,50,1
"308",387,16,32,1
"309",388,21.25,52,1
"310",389,22.25,58,1
"311",390,22.5,54,1
"312",391,21.5,51,1
"313",392,22.75,54,1
"314",393,21.25,53,1
"315",394,20.5,49,1
"316",395,22.25,55,1
"317",396,21.25,57,1
"318",397,11.25,26,1
"319",398,20.5,53,1
"320",399,19.25,47,1
"321",400,17.75,42,1
"322",401,19.5,45,1
"323",403,13.75,31,1
"324",404,16.75,39,1
"325",406,14,27,1
"326",407,16.5,33,1
"327",408,19.5,40,1
"328",410,14,26,1
"329",413,15,28,1
"330",415,16.75,34,1
"331",416,19.75,44,1
"332",417,20.75,45,1
"333",418,21,55,1
"334",419,20.5,45,1
"335",420,19.75,41,1
"336",421,15.25,33,1
"337",422,18.5,39,1
"338",423,20,44,1
"339",424,21.5,53,1
"340",425,22.75,58,1
"341",426,23,59,1
"342",427,22.25,55,1
"343",428,21.75,50,1
"344",429,22.25,53,1
"345",430,22,55,1
"346",431,22.5,54,1
"347",432,21.75,53,1
"348",435,19,37,1
"349",438,21.75,52,1
"350",441,20.75,47,1
"351",442,22,46,1
"352",443,20.25,41,1
"353",444,19.75,40,1
"354",445,22,48,1
"355",446,20.25,45,1
"356",447,19.25,40,1
"357",448,22.25,47,1
"358",449,21.25,45,1
"359",450,19.75,39,1
"360",451,22.5,55,1
"361",452,22.75,56,1
"362",453,21.75,51,1
"363",454,20.75,44,1
"364",455,23.75,52,1
"365",456,20.25,39,1
"366",457,22.75,60,1
"367",459,21.75,49,1
"368",460,19,46,1
"369",461,21,57,1
"370",462,19.75,49,1
"371",464,21.25,56,1
"372",467,22,56,1
"373",468,16.25,35,1
"374",469,17.5,35,1
"375",470,18.25,37,1
"376",471,18,35,1
"377",472,22,50,1
"378",473,20.75,44,1
"379",474,21.25,45,1
"380",475,21.25,45,1
"381",476,21.5,40,1
"382",477,20.75,38,1
"383",478,16.75,35,1
"384",479,19.25,43,1
"385",480,15.75,32,1
"386",483,17.25,35,1
"387",486,17.25,36,1
"388",505,18.25,36,1
"389",506,20.75,47,1
"390",507,16.75,34,1
"391",509,17.5,34,1
"392",510,15.25,28,1
"393",511,20.75,44,1
"394",512,19.75,43,1
"395",513,17.25,36,1
"396",514,21.25,44,1
"397",515,21.5,44,1
"398",516,20.75,42,1
"399",517,18.75,36,1
"400",518,19.25,36,1
"401",519,20.75,44,1
"402",521,20.75,48,1
"403",522,20.75,45,1
"404",523,23.5,55,1
"405",524,23.25,48,1
"406",525,18,35,1
"407",526,16.5,35,1
"408",527,24.75,55,1
"409",528,17.75,32,1
"410",529,23.75,47,1
"411",530,24.25,51,1
"412",531,17.25,31,1
"413",532,17,34,1
"414",533,19.5,40,1
"415",534,18,37,1
"416",535,15.75,29,1
"417",536,19.25,41,1
"418",537,19.75,43,1
"419",542,18.5,42,1
"420",543,19,43,1
"421",544,20.25,43,1
"422",545,22.75,54,1
"423",546,21.75,46,1
"424",548,20.75,48,1
"425",549,20.75,44,1
"426",550,21.5,48,1
"427",551,22,48,1
"428",552,21,41,1
"429",553,16.25,38,1
"430",554,22,52,1
"431",555,21,47,1
"432",557,21.5,51,1
"433",558,21,45,1
"434",559,18,41,1
"435",560,20.5,47,1
"436",561,21.25,53,1
"437",562,20.5,49,1
"438",563,17.25,33,1
"439",564,19.25,43,1
"440",567,18.75,38,1
"441",568,20,42,1
"442",569,21,43,1
"443",570,19,41,1
"444",571,19,37,1
"445",572,21,49,1
"446",576,20.25,45,1
"447",577,20,43,1
"448",579,21.75,58,1
"449",580,19.5,42,1
"450",581,20.5,49,1
"451",582,19.75,48,1
"452",583,20.75,49,1
"453",584,20.75,53,1
"454",585,19,45,1
"455",586,20,51,1
"456",587,19.75,53,1
"457",588,18.75,45,1
"458",589,19.25,41,1
"459",590,20.5,44,1
"460",591,19.25,44,1
"461",592,19.25,43,1
"462",593,19.75,50,1
"463",594,19.75,43,1
"464",595,19.25,40,1
"465",596,20.5,42,1
"466",597,18.25,35,1
"467",598,17,33,1
"468",599,21,46,1
"469",600,20,41,1
"470",601,17.75,38,1
"471",602,15.75,33,1
"472",603,18.75,37,1
"473",605,23.25,48,1
"474",606,23.25,49,1
"475",607,19.75,34,1
"476",608,23.75,54,1
"477",609,24.75,53,1
"478",611,23.5,52,1
"479",612,15.25,30,1
"480",613,20.25,44,1
"481",615,22.75,56,1
"482",617,23.25,59,1
"483",618,20.25,41,1
"484",619,20.5,47,1
"485",620,21.75,53,1
"486",622,21.25,45,1
"487",623,23.25,57,1
"488",624,19.75,45,1
"489",626,23.25,55,1
"490",628,19.5,43,1
"491",629,22.75,52,1
"492",630,15,31,1
"493",631,23.75,59,1
"494",632,23,60,1
"495",633,21.75,50,1
"496",635,23.25,57,1
"497",636,22.75,54,1
"498",640,24.25,60,1
"499",641,24.75,61,1
"500",642,22.75,52,1
"501",644,24,55,1
"502",645,21.75,47,1
"503",646,23.75,59,1
"504",647,25,62,1
"505",648,24.25,61,1
"506",649,23.25,58,1
"507",650,22.25,51,1
"508",651,23.5,56,1
"509",654,26,68,1
"510",655,25.25,63,1
"511",656,24.75,61,1
"512",667,21.75,56,1
"513",668,21.75,49,1
"514",669,21.75,49,1
"515",670,21.75,54,1
"516",671,21.5,47,1
"517",672,22.25,55,1
"518",673,19.5,39,1
"519",674,21.25,47,1
"520",675,22,49,1
"521",676,17.25,40,1
"522",678,19,49,1
"523",679,18.25,46,1
"524",680,14.25,31,1
"525",681,19,51,1
"526",682,15,33,1
"527",683,15,33,1
"528",685,17,38,2
"529",686,18.5,46,2
"530",687,16.5,37,2
"531",689,17,40,2
"532",690,16,35,2
"533",693,13.5,30,2
"534",694,20.5,36,2
"535",695,21,41,2
"536",696,17.75,30,2
"537",697,18.25,36,2
"538",698,18.5,36,2
"539",699,16.5,31,2
"540",701,21,42,2
"541",702,16,26,2
"542",703,20.75,41,2
"543",704,18.75,37,2
"544",705,19.25,38,2
"545",706,16.75,36,2
"546",707,19,40,2
"547",708,20.75,44,2
"548",709,18.25,35,2
"549",710,20,42,2
"550",712,23,58,2
"551",713,23,58,2
"552",714,24.5,64,2
"553",715,20.75,50,2
"554",716,23.5,56,2
"555",717,16,39,2
"556",718,24,64,2
"557",719,21.75,47,2
"558",720,23.5,63,2
"559",721,24.25,60,2
"560",724,23.25,58,2
"561",725,22.75,58,2
"562",726,16,33,2
"563",728,22.75,54,2
"564",729,24.25,60,2
"565",730,20.75,42,2
"566",731,22.25,49,2
"567",732,16.75,32,2
"568",733,21.75,44,2
"569",734,15.25,29,2
"570",735,20,41,2
"571",736,16.75,30,2
"572",737,17.75,33,2
"573",738,12.75,27,2
"574",739,20.5,41,2
"575",740,19.25,40,2
"576",741,23.5,56,2
"577",742,20.75,45,2
"578",743,22.25,54,2
"579",744,22.5,55,2
"580",745,21.75,48,2
"581",746,20.75,48,2
"582",747,22.25,52,2
"583",748,23.75,53,2
"584",750,22.75,50,2
"585",751,23.25,53,2
"586",752,22.75,49,2
"587",753,22.25,51,2
"588",754,22.25,51,2
"589",755,22.75,50,2
"590",756,21.75,52,2
"591",757,23.25,63,2
"592",758,21,52,2
"593",759,21.75,54,2
"594",760,15.5,32,2
"595",761,22.5,58,2
"596",762,22.75,57,2
"597",763,19.25,44,2
"598",764,22.5,55,2
"599",765,19.5,47,2
"600",767,21.25,43,2
"601",769,19.75,41,2
"602",770,21.75,50,2
"603",771,20.25,42,2
"604",773,20.75,44,2
"605",774,18.25,41,2
"606",775,21.5,48,2
"607",776,22.75,55,2
"608",777,21.75,50,2
"609",778,18,39,2
"610",779,21.25,46,2
"611",780,18.75,40,2
"612",781,21.25,47,2
"613",782,15.75,35,2
"614",783,19.5,46,2
"615",785,19.25,39,2
"616",786,18,34,2
"617",787,18.5,39,2
"618",788,22.75,49,2
"619",789,21.75,41,2
"620",790,22,50,2
"621",791,21.5,48,2
"622",792,22,48,2
"623",793,20.25,43,2
"624",794,20.75,42,2
"625",795,21.25,48,2
"626",796,19.5,38,2
"627",797,22.25,47,2
"628",798,21,48,2
"629",799,22,47,2
"630",800,20.5,42,2
"631",801,20.75,46,2
"632",802,20.5,47,2
"633",803,21.5,52,2
"634",804,21.25,43,2
"635",805,19.75,46,2
"636",806,21.75,50,2
"637",807,21.75,51,2
"638",808,18.5,43,2
"639",809,21.25,46,2
"640",810,21.25,45,2
"641",811,23,44,2
"642",812,22.75,49,2
"643",813,22,44,2
"644",814,22,42,2
"645",815,20.5,38,2
"646",816,22.75,47,2
"647",818,22.75,50,2
"648",820,23.75,56,2
"649",821,13.75,28,2
"650",822,23.25,56,2
"651",823,22.75,48,2
"652",824,22.25,58,2
"653",825,22.25,48,2
"654",826,20.75,39,2
"655",827,19.75,41,2
"656",828,22.25,54,2
"657",829,20,41,2
"658",830,22.5,52,2
"659",831,22,50,2
"660",832,17.75,36,2
"661",833,22.75,49,2
"662",834,23.25,49,2
"663",835,22.25,55,2
"664",836,23.75,54,2
"665",837,23.75,49,2
"666",838,22.5,50,2
"667",839,17.75,35,2
"668",840,24,56,2
"669",841,18.5,38,2
"670",842,23.25,55,2
"671",843,23.5,52,2
"672",844,21.5,46,2
"673",845,23.5,55,2
"674",846,23,50,2
"675",848,22.75,54,2
"676",849,24.75,64,2
"677",850,23.25,55,2
"678",851,23.75,55,2
"679",853,23.75,57,2
"680",854,24.5,60,2
"681",855,18.5,34,2
"682",856,21.5,57,2
"683",857,21.25,49,2
"684",858,23,55,2
"685",859,21,50,2
"686",860,23.75,62,2
"687",861,23,57,2
"688",862,21.25,47,2
"689",863,20,52,2
"690",864,22.25,51,2
"691",865,22.25,51,2
"692",866,23.25,51,2
"693",867,22.75,49,2
"694",868,22.25,50,2
"695",869,23.75,54,2
"696",870,22.25,44,2
"697",871,23.5,53,2
"698",872,24.75,61,2
"699",873,21.75,46,2
"700",874,22.5,52,2
"701",875,21.5,55,2
"702",876,23.25,57,2
"703",877,21,46,2
"704",878,23.5,55,2
"705",879,22.25,53,2
"706",880,22.75,56,2
"707",881,22.5,52,2
"708",882,22.75,58,2
"709",886,20.75,51,2
"710",888,19.25,41,2
"711",889,21.75,48,2
"712",890,23.5,56,2
"713",891,22.25,52,2
"714",892,12.75,27,2
"715",893,25.25,61,2
"716",894,25.25,65,2
"717",895,21.25,48,2
"718",896,23.25,58,2
"719",897,23.75,56,2
"720",898,20.75,51,2
"721",900,24.25,59,2
"722",901,22.75,50,2
"723",902,24.75,54,2
"724",903,22,44,2
"725",904,24.75,57,2
"726",905,24.25,51,2
"727",906,24.75,52,2
"728",907,21.75,44,2
"729",908,23.75,53,2
"730",909,21.25,40,2
"731",910,21.25,49,2
"732",912,24.25,57,2
"733",913,22.25,52,2
"734",914,23,55,2
"735",915,22.5,50,2
"736",916,19.75,45,2
"737",918,23.25,59,2
"738",919,21,42,2
"739",920,23,48,2
"740",922,20,41,2
"741",923,23,49,2
"742",924,22.5,42,2
"743",925,20.25,39,2
"744",926,20,38,2
"745",927,22,45,2
"746",928,22,53,2
"747",929,22.5,56,2
"748",930,22.25,49,2
"749",931,22.25,51,2
"750",932,20.25,39,2
"751",933,21,47,2
"752",934,22.75,52,2
"753",935,19.75,36,2
"754",936,21.75,47,2
"755",937,23.25,55,2
"756",938,21.5,42,2
"757",939,24,57,2
"758",940,23.75,60,2
"759",941,18.75,36,2
"760",942,22,49,2
"761",943,24.5,61,2
"762",945,24.5,56,2
"763",946,21.5,53,2
"764",947,19.5,39,2
"765",948,22.5,57,2
"766",949,20.25,46,2
"767",950,21.25,53,2
"768",951,21.75,56,2
"769",952,21,53,2
"770",953,22,54,2
"771",954,20.5,46,2
"772",955,18.25,35,2
"773",956,23.75,50,2
"774",957,23.25,53,2
"775",959,23.75,53,2
"776",960,24.25,55,2
"777",963,23.75,51,2
"778",964,23.25,57,2
"779",965,24.5,63,2
"780",966,23.25,54,2
"781",967,22.25,49,2
"782",968,22.75,51,2
"783",969,22.75,50,2
"784",970,23.25,55,2
"785",971,24.25,64,2
"786",972,23.75,55,2
"787",973,24,64,2
"788",974,23.5,61,2
"789",975,24.75,65,2
"790",976,24.25,61,2
"791",978,19.5,43,2
"792",979,24.5,63,2
"793",980,20,45,2
"794",981,24,63,2
"795",982,24.25,55,2
"796",983,23.75,53,2
"797",984,21,42,2
"798",985,23,48,2
"799",986,16.25,29,2
"800",987,23.25,51,2
"801",989,22.5,46,2
"802",990,23.75,49,2
"803",991,21,47,2
"804",992,22.5,53,2
"805",993,23.75,55,2
"806",994,21.5,52,2
"807",995,22,50,2
"808",996,22,48,2
"809",997,21.75,53,2
"810",998,22.25,57,2
"811",999,23.75,59,2
"812",1000,22.25,56,2
"813",1001,23.75,58,2
"814",1003,23.25,60,2
"815",1004,20.25,44,2
"816",1005,18.5,39,2
"817",1006,21.25,52,2
"818",1008,22.5,56,2
"819",1009,23.75,60,2
"820",1010,23,54,2
"821",1011,23.75,60,2
"822",1013,23.75,56,2
"823",1016,24.75,58,2
"824",1018,22.75,55,2
"825",1019,22.5,54,2
"826",1020,22.75,53,2
"827",1021,22,49,2
"828",1022,22.5,54,2
"829",1023,23.25,56,2
"830",1024,22,50,2
"831",1025,21.5,49,2
"832",1026,21.75,45,2
"833",1028,21.5,61,2
"834",1029,20,53,2
"835",1030,20.25,56,2
"836",1031,16,36,2
"837",1032,19.5,50,2
"838",1033,19.25,41,2
"839",1034,19.5,47,2
"840",1035,19.25,47,2
"841",1036,21.25,43,2
"842",1037,22.75,55,2
"843",1038,21.75,39,2
"844",1039,21.25,43,2
"845",1040,23.25,52,2
"846",1042,23,50,2
"847",1043,23.75,46,2
"848",1045,15.75,33,2
"849",1046,19.75,44,2
"850",1047,19.25,40,2
"851",1048,20.5,47,2
"852",1049,17,35,2
"853",1050,21,46,2
"854",1051,20,38,2
"855",1052,20,45,2
"856",1053,21.75,48,2
"857",1054,21.5,49,2
"858",1055,19.75,38,2
"859",1056,21.25,48,2
"860",1057,20.75,44,2
"861",1058,21,44,2
"862",1059,20.25,41,2
"863",1060,21.5,43,2
"864",1061,20.25,41,2
"865",1062,19.5,39,2
"866",1063,20,42,2
"867",1064,19,37,2
"868",1065,18.75,41,2
"869",1066,20.75,43,2
"870",1067,20.5,45,2
"871",1068,20.75,50,2
"872",1069,19.5,39,2
"873",1070,19.75,47,2
"874",1071,20.75,48,2
"875",1072,20.5,45,2
"876",1073,20.5,49,2
"877",1074,20.25,46,2
"878",1075,20.75,46,2
"879",1076,20.25,44,2
"880",1077,20.25,47,2
"881",1078,20.5,45,2
"882",1080,20.25,47,2
"883",1081,20,42,2
"884",1082,20.25,45,2
"885",1083,20,44,2
"886",1085,19.75,46,2
"887",1087,20.5,45,2
"888",1091,16.5,34,2
"889",1093,16,31,2
"890",1094,19.25,45,2
"891",1095,12.75,27,2
"892",1096,15,28,2
"893",1097,19,44,2
"894",1099,18.25,39,2
"895",1100,20.25,51,2
"896",1102,18.75,39,2
"897",1103,19.5,44,2
"898",1106,18.75,43,2
"899",1108,23.5,53,2
"900",1110,23,55,2
"901",1111,20.5,40,2
"902",1112,22.25,49,2
"903",1113,22.25,51,2
"904",1114,23.75,59,2
"905",1115,21.25,42,2
"906",1116,22.25,51,2
"907",1117,21.75,50,2
"908",1118,21.75,53,2
"909",1119,21.25,48,2
"910",1120,21.25,45,2
"911",1121,20.25,44,2
"912",1122,20,45,2
"913",1123,21.25,46,2
"914",1124,21,46,2
"915",1125,19.75,45,2
"916",1126,19.75,33,2
"917",1127,21.5,44,2
"918",1128,23.5,52,2
"919",1129,22.75,48,2
"920",1130,15.5,28,2
"921",1131,22.25,49,2
"922",1132,21.5,46,2
"923",1133,19.25,40,2
"924",1134,23,54,2
"925",1137,22.25,53,2
"926",1138,21.25,45,2
"927",1139,18,33,2
"928",1140,23.75,59,2
"929",1141,22.75,53,2
"930",1143,22.25,51,2
"931",1150,20.25,45,2
"932",1151,11.5,26,2
"933",1153,21.5,44,2
"934",1154,20.75,35,2
"935",1155,21.75,44,2
"936",1157,21.25,46,2
"937",1158,21.75,43,2
"938",1159,16,28,2
"939",1160,21.5,45,2
"940",1161,21.75,44,2
"941",1162,16,33,2
"942",1163,16.75,34,2
"943",1164,16,32,2
"944",1165,14.5,28,2
"945",1166,20.25,49,2
"946",1167,19.75,46,2
"947",1168,14.75,30,2
"948",1169,18,38,2
"949",1170,20,47,2
"950",1179,17.5,44,2
"951",1180,20.75,49,2
"952",1182,17.5,35,2
"953",1184,19,45,2
"954",1187,20,48,2
"955",1189,18.5,40,2
"956",1190,17.75,37,2
"957",1191,16.25,34,2
"958",1192,15.25,30,2
"959",1193,18.25,37,2
"960",1194,17,37,2
"961",1196,19.75,48,2
"962",1197,13.5,27,2
"963",1198,20,36,2
"964",1199,21,44,2
"965",1201,21.5,47,2
"966",1202,17,31,2
"967",1203,13.5,26,2
"968",1204,13.75,28,2
"969",1205,20.75,49,2
"970",1207,22.75,43,2
"971",1208,24.25,50,2
"972",1209,18.25,35,2
"973",1210,19.25,33,2
"974",1212,21.25,40,2
"975",1213,23.75,51,2
"976",1214,23.25,49,2
"977",1215,21.5,43,2
"978",1216,14.5,31,2
"979",1217,19.75,46,2
"980",1218,17.25,37,2
"981",1219,16.25,37,2
"982",1220,18.5,42,2
"983",1221,17.25,41,2
"984",1222,16.25,38,2
"985",1223,17.75,38,2
"986",1224,16,34,2
"987",1225,18.75,38,2
"988",1226,21,49,2
"989",1227,19,40,2
"990",1228,21,48,2
"991",1229,21,48,2
"992",1230,18,37,2
"993",1231,18.5,40,2
"994",1232,19.5,41,2
"995",1233,18.25,39,2
"996",1234,20.25,40,2
"997",1235,20.5,42,2
"998",1236,20.25,40,2
"999",1237,21.25,43,2
"1000",1238,22.75,48,2
"1001",1239,21.5,42,2
"1002",1240,19.25,38,2
"1003",1241,21.25,41,2
"1004",1242,20.25,41,2
"1005",1243,14.5,33,2
"1006",1245,19.25,47,2
"1007",1247,19.5,50,2
"1008",1249,17,35,2
"1009",1250,19.5,51,2
"1010",1251,17.5,38,2
"1011",1252,21.5,47,2
"1012",1253,19.25,38,2
"1013",1254,20.75,47,2
"1014",1255,21.75,51,2
"1015",1256,20.5,39,2
"1016",1257,21.75,49,2
"1017",1258,21,43,2
"1018",1259,22.25,50,2
"1019",1260,19.75,37,2
"1020",1261,21.25,55,2
"1021",1262,20.75,52,2
"1022",1263,20,50,2
"1023",1264,19.25,41,2
"1024",1265,18.5,43,2
"1025",1266,20.5,50,2
"1026",1267,20,50,2
"1027",1268,19.5,43,2
"1028",1269,18.5,40,2
"1029",1270,19.5,47,2
"1030",1271,20.75,55,2
"1031",1272,19,48,2
"1032",1274,19.5,45,2
"1033",1275,19.5,45,2
"1034",1276,20.5,51,2
"1035",1277,21.25,57,2
"1036",1278,19.5,45,2
"1037",1279,18.5,41,2
"1038",1280,20,46,2
"1039",1281,19,42,2
"1040",1282,18,40,2
"1041",1283,20.25,48,2
"1042",1284,17.5,36,2
"1043",1285,17.5,39,2
"1044",1286,19.25,42,2
"1045",1287,13,26,2
"1046",1288,23.5,49,2
"1047",1290,21.75,45,2
"1048",1291,24.5,52,2
"1049",1292,23.75,47,2
"1050",1293,22.75,46,2
"1051",1294,25.5,58,2
"1052",1295,23.75,52,2
"1053",1296,23.75,51,2
"1054",1297,22,49,2
"1055",1298,17,34,2
"1056",1299,22.25,60,2
"1057",1300,20,39,2
"1058",1302,23.25,58,2
"1059",1304,22.5,62,2
"1060",1305,21.25,51,2
"1061",1306,16.75,33,2
"1062",1307,22.75,54,2
"1063",1308,22,47,2
"1064",1309,17.75,34,2
"1065",1310,21,45,2
"1066",1311,21.25,46,2
"1067",1312,20.25,43,2
"1068",1313,22.25,50,2
"1069",1314,20.75,45,2
"1070",1315,24.75,60,2
"1071",1316,23.75,58,2
"1072",1318,23.25,61,2
"1073",1319,20.5,45,2
"1074",1320,22.75,54,2
"1075",1321,24.25,60,2
"1076",1323,21.75,57,2
"1077",1324,25.25,56,2
"1078",1325,24.25,58,2
"1079",1326,17.75,42,2
